Year,Mon,Yr,AvgTempDegF
1895-1,1,1895,19.4
1895-2,2,1895,17.6
1895-3,3,1895,36.9
1895-4,4,1895,53.1
1895-5,5,1895,62.6
1895-6,6,1895,73.4
1895-7,7,1895,71.5
1895-8,8,1895,73.4
1895-9,9,1895,68.6
1895-10,10,1895,46.1
1895-11,11,1895,39.2
1895-12,12,1895,31.5
1896-1,1,1896,27.6
1896-2,2,1896,30.5
1896-3,3,1896,33.8
1896-4,4,1896,57.6
1896-5,5,1896,68.9
1896-6,6,1896,70.2
1896-7,7,1896,74.5
1896-8,8,1896,72.8
1896-9,9,1896,62.7
1896-10,10,1896,49.8
1896-11,11,1896,41.9
1896-12,12,1896,33.5
1897-1,1,1897,23.3
1897-2,2,1897,30.7
1897-3,3,1897,40.7
1897-4,4,1897,49.2
1897-5,5,1897,57.1
1897-6,6,1897,69.4
1897-7,7,1897,76.1
1897-8,8,1897,71
1897-9,9,1897,69.5
1897-10,10,1897,59
1897-11,11,1897,40.5
1897-12,12,1897,28.8
1898-1,1,1898,31.1
1898-2,2,1898,30.7
1898-3,3,1898,44.2
1898-4,4,1898,49
1898-5,5,1898,62.1
1898-6,6,1898,72.7
1898-7,7,1898,74.9
1898-8,8,1898,72.7
1898-9,9,1898,68.4
1898-10,10,1898,51.6
1898-11,11,1898,36.4
1898-12,12,1898,26.3
1899-1,1,1899,25.4
1899-2,2,1899,19.2
1899-3,3,1899,33
1899-4,4,1899,52.7
1899-5,5,1899,63.1
1899-6,6,1899,73.3
1899-7,7,1899,75.1
1899-8,8,1899,75.7
1899-9,9,1899,65.4
1899-10,10,1899,57.9
1899-11,11,1899,43.7
1899-12,12,1899,28.3
1900-1,1,1900,30.2
1900-2,2,1900,24.6
1900-3,3,1900,34
1900-4,4,1900,52
1900-5,5,1900,64.6
1900-6,6,1900,70.4
1900-7,7,1900,75
1900-8,8,1900,78.1
1900-9,9,1900,69.3
1900-10,10,1900,60.9
1900-11,11,1900,40.8
1900-12,12,1900,30.7
1901-1,1,1901,28.2
1901-2,2,1901,21.5
1901-3,3,1901,38.9
1901-4,4,1901,47.8
1901-5,5,1901,59.6
1901-6,6,1901,72.7
1901-7,7,1901,80.4
1901-8,8,1901,74.4
1901-9,9,1901,66.2
1901-10,10,1901,54.9
1901-11,11,1901,36.8
1901-12,12,1901,24.9
1902-1,1,1902,26.4
1902-2,2,1902,19.7
1902-3,3,1902,42
1902-4,4,1902,49.4
1902-5,5,1902,66.1
1902-6,6,1902,69.2
1902-7,7,1902,75.4
1902-8,8,1902,70.3
1902-9,9,1902,62.8
1902-10,10,1902,56.1
1902-11,11,1902,47.8
1902-12,12,1902,27.9
1903-1,1,1903,25.5
1903-2,2,1903,28.2
1903-3,3,1903,45.6
1903-4,4,1903,51
1903-5,5,1903,64.9
1903-6,6,1903,65.4
1903-7,7,1903,75.4
1903-8,8,1903,71.5
1903-9,9,1903,65.6
1903-10,10,1903,53.6
1903-11,11,1903,36.4
1903-12,12,1903,22.2
1904-1,1,1904,19.1
1904-2,2,1904,22.1
1904-3,3,1904,39
1904-4,4,1904,45.6
1904-5,5,1904,61.1
1904-6,6,1904,68.9
1904-7,7,1904,72.4
1904-8,8,1904,70.4
1904-9,9,1904,66.1
1904-10,10,1904,52.4
1904-11,11,1904,40.1
1904-12,12,1904,27.9
1905-1,1,1905,20.4
1905-2,2,1905,18.4
1905-3,3,1905,44.5
1905-4,4,1905,50.5
1905-5,5,1905,62.5
1905-6,6,1905,71
1905-7,7,1905,73
1905-8,8,1905,73.2
1905-9,9,1905,66.2
1905-10,10,1905,52.1
1905-11,11,1905,40.2
1905-12,12,1905,30.6
1906-1,1,1906,33.2
1906-2,2,1906,26.9
1906-3,3,1906,29.3
1906-4,4,1906,53
1906-5,5,1906,62.9
1906-6,6,1906,69.7
1906-7,7,1906,72.7
1906-8,8,1906,75.1
1906-9,9,1906,69.8
1906-10,10,1906,51.9
1906-11,11,1906,39.4
1906-12,12,1906,31.6
1907-1,1,1907,31.4
1907-2,2,1907,27.7
1907-3,3,1907,45.8
1907-4,4,1907,41.1
1907-5,5,1907,55.2
1907-6,6,1907,66.3
1907-7,7,1907,73.4
1907-8,8,1907,70
1907-9,9,1907,63.6
1907-10,10,1907,49.8
1907-11,11,1907,37
1907-12,12,1907,31.4
1908-1,1,1908,28.5
1908-2,2,1908,26.8
1908-3,3,1908,42.9
1908-4,4,1908,50.6
1908-5,5,1908,62.2
1908-6,6,1908,69.1
1908-7,7,1908,74
1908-8,8,1908,72.8
1908-9,9,1908,69
1908-10,10,1908,53.4
1908-11,11,1908,41.6
1908-12,12,1908,31.5
1909-1,1,1909,29
1909-2,2,1909,32.6
1909-3,3,1909,37.1
1909-4,4,1909,48.6
1909-5,5,1909,58.1
1909-6,6,1909,70.6
1909-7,7,1909,70.9
1909-8,8,1909,73.8
1909-9,9,1909,62.4
1909-10,10,1909,48.1
1909-11,11,1909,49.1
1909-12,12,1909,20.6
1910-1,1,1910,25.9
1910-2,2,1910,24.6
1910-3,3,1910,48.8
1910-4,4,1910,50.8
1910-5,5,1910,55.8
1910-6,6,1910,68
1910-7,7,1910,73.9
1910-8,8,1910,70.6
1910-9,9,1910,65.4
1910-10,10,1910,55.5
1910-11,11,1910,34.9
1910-12,12,1910,24.5
1911-1,1,1911,29.6
1911-2,2,1911,33.3
1911-3,3,1911,38.4
1911-4,4,1911,48.2
1911-5,5,1911,67.1
1911-6,6,1911,73.4
1911-7,7,1911,74.8
1911-8,8,1911,72.5
1911-9,9,1911,68.4
1911-10,10,1911,52.5
1911-11,11,1911,34.7
1911-12,12,1911,34
1912-1,1,1912,14.9
1912-2,2,1912,20.8
1912-3,3,1912,30.2
1912-4,4,1912,52.7
1912-5,5,1912,63.5
1912-6,6,1912,67.4
1912-7,7,1912,74
1912-8,8,1912,70.6
1912-9,9,1912,67.2
1912-10,10,1912,53.8
1912-11,11,1912,40.1
1912-12,12,1912,32.1
1913-1,1,1913,31.1
1913-2,2,1913,25
1913-3,3,1913,37
1913-4,4,1913,50.4
1913-5,5,1913,62.8
1913-6,6,1913,73.1
1913-7,7,1913,77.4
1913-8,8,1913,76.1
1913-9,9,1913,65.4
1913-10,10,1913,52.7
1913-11,11,1913,45.4
1913-12,12,1913,35.4
1914-1,1,1914,33.2
1914-2,2,1914,20.3
1914-3,3,1914,36
1914-4,4,1914,51.2
1914-5,5,1914,64.4
1914-6,6,1914,75.1
1914-7,7,1914,77.6
1914-8,8,1914,74.3
1914-9,9,1914,65.1
1914-10,10,1914,56.4
1914-11,11,1914,42.2
1914-12,12,1914,23.3
1915-1,1,1915,22.4
1915-2,2,1915,35.6
1915-3,3,1915,34.1
1915-4,4,1915,56.3
1915-5,5,1915,58.8
1915-6,6,1915,68
1915-7,7,1915,72
1915-8,8,1915,66.4
1915-9,9,1915,67.1
1915-10,10,1915,54.7
1915-11,11,1915,43.5
1915-12,12,1915,28.6
1916-1,1,1916,31.2
1916-2,2,1916,25.8
1916-3,3,1916,36.4
1916-4,4,1916,48.9
1916-5,5,1916,63
1916-6,6,1916,66.3
1916-7,7,1916,79.8
1916-8,8,1916,75.5
1916-9,9,1916,64.4
1916-10,10,1916,53.3
1916-11,11,1916,42.8
1916-12,12,1916,27
1917-1,1,1917,28
1917-2,2,1917,24.6
1917-3,3,1917,40.6
1917-4,4,1917,48.9
1917-5,5,1917,55.8
1917-6,6,1917,67.8
1917-7,7,1917,73.4
1917-8,8,1917,71.1
1917-9,9,1917,64
1917-10,10,1917,45.1
1917-11,11,1917,41
1917-12,12,1917,20.8
1918-1,1,1918,11.3
1918-2,2,1918,29.4
1918-3,3,1918,45.5
1918-4,4,1918,47.5
1918-5,5,1918,66.8
1918-6,6,1918,70.7
1918-7,7,1918,72.2
1918-8,8,1918,77.5
1918-9,9,1918,57.9
1918-10,10,1918,56.1
1918-11,11,1918,40.9
1918-12,12,1918,38.1
1919-1,1,1919,31.4
1919-2,2,1919,31.6
1919-3,3,1919,41.7
1919-4,4,1919,51.4
1919-5,5,1919,58.7
1919-6,6,1919,74.5
1919-7,7,1919,78
1919-8,8,1919,72.1
1919-9,9,1919,68.8
1919-10,10,1919,58.7
1919-11,11,1919,39.6
1919-12,12,1919,23.5
1920-1,1,1920,20
1920-2,2,1920,28.3
1920-3,3,1920,40.9
1920-4,4,1920,45.5
1920-5,5,1920,60.3
1920-6,6,1920,70.4
1920-7,7,1920,72.8
1920-8,8,1920,71
1920-9,9,1920,68.3
1920-10,10,1920,59
1920-11,11,1920,39.4
1920-12,12,1920,30.9
1921-1,1,1921,32.1
1921-2,2,1921,34.6
1921-3,3,1921,48.5
1921-4,4,1921,54.5
1921-5,5,1921,64.2
1921-6,6,1921,75.8
1921-7,7,1921,79.8
1921-8,8,1921,72
1921-9,9,1921,70.3
1921-10,10,1921,53.6
1921-11,11,1921,42
1921-12,12,1921,33.7
1922-1,1,1922,24.5
1922-2,2,1922,31.7
1922-3,3,1922,41.9
1922-4,4,1922,52.7
1922-5,5,1922,65.4
1922-6,6,1922,72.8
1922-7,7,1922,73.4
1922-8,8,1922,72.7
1922-9,9,1922,69.5
1922-10,10,1922,56.2
1922-11,11,1922,42.7
1922-12,12,1922,30.8
1923-1,1,1923,31.5
1923-2,2,1923,24.2
1923-3,3,1923,36.9
1923-4,4,1923,48.7
1923-5,5,1923,59.6
1923-6,6,1923,71.6
1923-7,7,1923,74.6
1923-8,8,1923,71.8
1923-9,9,1923,65.3
1923-10,10,1923,50.4
1923-11,11,1923,41.4
1923-12,12,1923,39.5
1924-1,1,1924,20.8
1924-2,2,1924,28.4
1924-3,3,1924,33.8
1924-4,4,1924,51.7
1924-5,5,1924,54.4
1924-6,6,1924,68.6
1924-7,7,1924,71.1
1924-8,8,1924,71.9
1924-9,9,1924,60.9
1924-10,10,1924,58.3
1924-11,11,1924,40.9
1924-12,12,1924,24.8
1925-1,1,1925,25.4
1925-2,2,1925,36.3
1925-3,3,1925,41.8
1925-4,4,1925,56.3
1925-5,5,1925,57.8
1925-6,6,1925,74
1925-7,7,1925,74.4
1925-8,8,1925,72.9
1925-9,9,1925,72.5
1925-10,10,1925,44.8
1925-11,11,1925,38.2
1925-12,12,1925,26.7
1926-1,1,1926,26.9
1926-2,2,1926,32.7
1926-3,3,1926,32.8
1926-4,4,1926,44.2
1926-5,5,1926,63.2
1926-6,6,1926,66.7
1926-7,7,1926,76.1
1926-8,8,1926,74.6
1926-9,9,1926,66.9
1926-10,10,1926,53.3
1926-11,11,1926,36.9
1926-12,12,1926,27.4
1927-1,1,1927,24.8
1927-2,2,1927,37.4
1927-3,3,1927,42.7
1927-4,4,1927,51.2
1927-5,5,1927,59.9
1927-6,6,1927,65.9
1927-7,7,1927,73.4
1927-8,8,1927,66.4
1927-9,9,1927,69.7
1927-10,10,1927,57.3
1927-11,11,1927,44.4
1927-12,12,1927,28.6
1928-1,1,1928,26.8
1928-2,2,1928,30.2
1928-3,3,1928,38.3
1928-4,4,1928,46.1
1928-5,5,1928,60.5
1928-6,6,1928,65.1
1928-7,7,1928,74.1
1928-8,8,1928,73.5
1928-9,9,1928,61
1928-10,10,1928,56.3
1928-11,11,1928,41
1928-12,12,1928,32.7
1929-1,1,1929,22.4
1929-2,2,1929,23.3
1929-3,3,1929,46
1929-4,4,1929,53.8
1929-5,5,1929,58.3
1929-6,6,1929,67.9
1929-7,7,1929,74.5
1929-8,8,1929,70.6
1929-9,9,1929,65.1
1929-10,10,1929,51.2
1929-11,11,1929,36
1929-12,12,1929,28.6
1930-1,1,1930,21.6
1930-2,2,1930,39.2
1930-3,3,1930,38.2
1930-4,4,1930,53.5
1930-5,5,1930,62.8
1930-6,6,1930,70.3
1930-7,7,1930,76.5
1930-8,8,1930,74.1
1930-9,9,1930,67.5
1930-10,10,1930,51.6
1930-11,11,1930,41
1930-12,12,1930,29.7
1931-1,1,1931,31.2
1931-2,2,1931,35.9
1931-3,3,1931,34.8
1931-4,4,1931,51.6
1931-5,5,1931,58.3
1931-6,6,1931,73.4
1931-7,7,1931,77.8
1931-8,8,1931,73.1
1931-9,9,1931,71
1931-10,10,1931,57
1931-11,11,1931,48.9
1931-12,12,1931,38.1
1932-1,1,1932,35.6
1932-2,2,1932,37.3
1932-3,3,1932,32.4
1932-4,4,1932,51
1932-5,5,1932,62.2
1932-6,6,1932,72.3
1932-7,7,1932,76.1
1932-8,8,1932,73.1
1932-9,9,1932,64.7
1932-10,10,1932,53
1932-11,11,1932,35.1
1932-12,12,1932,29.9
1933-1,1,1933,36.7
1933-2,2,1933,29.1
1933-3,3,1933,38.4
1933-4,4,1933,50.6
1933-5,5,1933,64.1
1933-6,6,1933,77
1933-7,7,1933,77.5
1933-8,8,1933,72.1
1933-9,9,1933,71.4
1933-10,10,1933,52.1
1933-11,11,1933,39
1933-12,12,1933,34.8
1934-1,1,1934,32.2
1934-2,2,1934,23
1934-3,3,1934,35.3
1934-4,4,1934,50.8
1934-5,5,1934,65.6
1934-6,6,1934,77.3
